headline,real_or_fake
"There are no known deaths or confirmed cases of the novel coronavirus in Nigeria as of February 18, 2020",1
Australian couple quarantined onboard Diamond Princess cruise reveal wine drone delivery story was 'just a prank',1
This map shows flight paths worldwide -- it does not show the movement of Wuhan residents,1
This video shows people sleeping rough in the Chinese city of Shenzhen,1
#CoronavirusOutbreak #Deankoontz this is odd,1
Don’t panic. This will suddenly vanish. A little more patience needed. ,1
The Simpsons Predicted Coronavirus!,1
So pastor Chris did slides and spent minutes to reinforce the conspiracy theory about 5G and CoronaVirus. ,1
I regret to inform you Woody Harrelson is posting 5G coronavirus conspiracy theories on Instagram.,1
Laal Topi is saying Coronavirus is a 5G conspiracy and your smart TVs are spying on you in your bedrooms.,1
"According to Prof. Robert Garry from Tulane University, “Wuhan wasn’t the origin of the virus”.",1
"Book predicted outbreak of coronavirus, says Kim Kardashian",1
Australian officials dismiss hoax report of coronavirus exposure at doctor's surgery in New South Wales town,1
This video was filmed before the novel coronavirus outbreak,1
This video has circulated online since at least March 2019 – months before the novel coronavirus outbreak,1
"No cases of the novel coronavirus have been confirmed in Zimbabwe as of February 20, 2020",1
"This map is a forecast based on past data, not real-time satellite readings",1
Bill Gates trends in South Africa after coronavirus anti-vaxxer conspiracy theory goes viral,1
Helicopters not spraying disinfectant over neighborhoods to stop virus,1
"Anti-malaria drug has proven effective in treating coronavirus but has not cured 12,552 patients",1
This video circulated online weeks before the novel coronavirus was first reported,1
This video has circulated in media reports since at least October 2019 -- months before the novel coronavirus outbreak,1
FALSE: Queen Elizabeth II’s quote praising Duterte,1
The Misinformation Pandemic Is Scarier Than the COVID-19 Pandemic,1
Fake message claims Dadar police register case against 52 people for misinformation on coronavirus,1
Old video falsely viral as Rahul and Priyanka Gandhi flouting coronavirus lockdown,1
These images have previously circulated in reports about an elderly Chinese couple who had unrelated health problems,1
International health advisories contradict false claim that a runny nose is not a coronavirus symptom,1
This photo has circulated in an online fundraising page for a man with a lung condition unrelated to the novel coronavirus,1
‘Coronavirus protection’ masks hawked in misleading video ad on Facebook,1
The video shows a police drill in China during the novel coronavirus epidemic,1
VERA FILES FACT CHECK: Viral FB post claiming Canada is now “COVID-19 free” FALSE,1
The story originated from a parody account; no driver is threatening to spread COVID-19 across Nigeria,1
US disease experts did not issue novel coronavirus-related facial hair guide,1
Hoax circulates that UK hospital has issued special advice to staff to prevent COVID-19 infection,1
FALSE: Quotes by personalities praising Duterte for coronavirus response,1
FALSE: FBI arrest of China-backed professor was linked to coronavirus,1
Coronavirus hoax spreads online after Rush Limbaugh broadcast,1
An image from The Simpsons was digitally altered to make it look like it predicted the novel coronavirus,1
"No, all international arrivals were not cancelled at an airport in Karachi in February 2020",1
An old photo of Buhari from before the pandemic was doctored to add face masks,1
Photo of ‘COVID-19’ rail tanker is not genuine,1
This photo was taken in South Africa in 2016 -- it is unrelated to the coronavirus pandemic,1
Cette vidéo de porcs enterrés vivants est-elle liée au coronavirus ?,1
This report is not from a genuine news site -- the Vatican said the pope was suffering from a cold,1
Health experts say drinking water every 15 minutes does not prevent coronavirus infection,1
Chloroquine has not been approved as a treatment for COVID-19,1
"These 14 claims on COVID-19 are viral, but misleading",1
The Philippine health department said it did not issue this 'checklist' for COVID-19 symptoms,1
This video shows two separate incidents involving different women in supermarkets,1
US President Donald Trump did not announce a coronavirus vaccine was 'ready',1
This meme does not show fully-stocked shelves during swine flu pandemic,1
US social media users mischaracterize Canada’s COVID-19 aid package,1
This video has circulated online since at least 2013 and shows people receiving Bibles,1
Inhaling steam will not treat or cure novel coronavirus infection,1
President: Iran Addressing COVID-19 Better Than Europe,1
Viral WhatsApp forward of ‘WHO lockdown protocol’ is fake,1
There is no known cure for the novel coronavirus and the patient has not yet been officially cleared,1
This report is a hoax -- the video was filmed one year before the novel coronavirus outbreak,1
Donating blood in US does not get you a novel coronavirus test,1
World Health Organization refutes viral claims that holding your breath can test for COVID-19,1
False claim circulates online that certain countries in Asia are using helicopters to spray 'COVID-19 disinfectant',1
This footage of looting was filmed years before the pandemic,1
Experts say eating garlic does not prevent COVID-19 -- and onions are no cure either,1
These photos show the coffins of victims of a boat disaster in 2013,1
"No, US and UK have not selected PM Modi to lead a coronavirus task force",1
False: Rahul Kanwal’s claim about Trump suggesting early access of COVID-19 vaccine to India,1
Disaster Management Act does not prohibit coronavirus posts on social media,1
"Indians do not have genetic protection against coronavirus, published research incorrectly interpreted",1
"No, Indian army has not built 1000-bed quarantine facility for coronavirus patients",1
"No, Dr Ramesh Gupta’s zoology book DOES NOT mention a cure for novel coronavirus",1
Did a man in Goa come up with an innovative way to make people stay indoors ?,1
There won’t be any medicine sprayed by Helicopters to kill COVID-19,1
The viral circular regarding the closing down of hotels and restaurants is Fake,1
[新型コロナFactCheck] 緊急事態宣言で｢知事に強制的ロックダウンの権限付与｣との米報道は誤り,1
"Chine : un médecin atteint du coronavirus s’évanouit dans un hôpital de Wuhan ? Attention, intox !",1
Fake US hospital letter says alcohol reduces COVID-19 risks,1
"There have been no deaths from the novel coronavirus in South Africa (as of March 12, 2020)",1
False claims that drinking water with lemon can prevent COVID-19 circulate online,1
Did An American CEO Draw This Map To Praise Indian Govt.'s COVID-19 Response?,1
War Veteran's Image Shared As Recovery Of Old Man From COVID-19 In Italy,1
Iran parl. body rejects fake coronavirus tolls reported by foreign media,1
This doctored image contains a 2015 photo of Tom Hanks and the ball in the movie 'Cast Away',1
Employer did not hide advice to skip work on COVID-19 poster,1
Costco is not recalling bath tissue due to novel coronavirus contamination,1
The incident happened in another part of South Africa long before the novel coronavirus outbreak,1
Consuming silver particles will not prevent or treat novel coronavirus,1
False COVID-19 hotline number shared on Facebook in Ontario,1
"The last day South African schools will be open is Wednesday, March 18; they will be closed thereafter",1
This photo has circulated online since 2017 -- over two years before the novel coronavirus outbreak,1
Health experts say comparing death tolls of an emerging epidemic with longstanding diseases risks underplaying COVID-19,1
Articles spread Tim Hortons closure hoax in Canada,1
Australia's Department of Health did not issue a warning that 'using petrol pumps can spread COVID-19',1
Hoax claim circulates online that Israel has no COVID-19 cases after it developed a 'cure',1
Nigeria is not paying citizens for staying at home amidst coronavirus pandemic,1
Reopening date for South Africa’s schools has not been announced,1
"No evidence drinking tea can cure or relieve symptoms of COVID-19, doctors say",1
"This video was filmed in 2011, nearly a decade before the novel coronavirus outbreak",1
"Manufacturers say 'free baby formula' offer is a hoax, after coronavirus sparks panic buying",1
Buckingham Palace did not say the Queen tested positive for coronavirus,1
Spanish politician misidentified in posts saying soccer players should find novel coronavirus cure,1
Hoax circulates on social media that Australian supermarket worker has tested positive for COVID-19 in New South Wales suburb,1
"Police dismissed the claims as a hoax, which were based on an old story",1
"Non, le Covid-19 n’est pas une « combinaison du SRAS et du sida »",1
South African health authorities urge public not to share hotline graphics with false information,1
"False posts claim COVID-19 existed before 2019, use animal vaccines as proof",1
"Hot air from saunas, hair dryers won’t prevent or treat COVID-19",1
Coronavirus is a man made American virus with the ultimate goal tracking all the people through the vaccine,1
"South Africa’s first coronavirus patient now has no symptoms, but not ‘cured’",1
Sharing info about Covid-19 not a crime in South Africa – but sharing false info is,1
Not all these South African coronavirus ‘lockdown procedures’ correct – use official regulations instead,1
WhatsApp message falsely links BC mall to COVID-19 outbreak,1
UNHCR condemns fake notice which claimed refugees in Malaysia are resisting COVID-19 tests,1
Scientists in Israel are still working on developing a vaccine for COVID-19,1
There is no evidence to support the claim that Ghana’s President Akufo-Addo tested positive for the novel coronavirus,1
This image has circulated in reports about China testing a potential COVID-19 vaccine that has not been approved by health authorities,1
Times of India Misreports Agra Woman Fleeing After Coronavirus Tests,1
False: Chicken Infected With Coronavirus In Bangalore,1
Does Drinking Alcohol Prevent Coronavirus?,1
Fake Messages Claim Shaheen Bagh Protester Tested Positive For Coronavirus,1
Cropped Aaj Tak Video Used To Spread Misinformation On Coronavirus,1
"No, Cristiano Ronaldo's Hotels Will Not Be Turned Into Hospitals For Coronavirus Patients",1
Coronavirus Rumours Hit Mumbai Hotels Westin And Fatty Bao,1
Scene From Mini-Series Pandemic Peddled As Coronavirus Mass Grave,1
Coronavirus: Dated Photos Of Kanika Kapoor Meeting Prince Charles Surface With False Claim,1
Mumbai Police Rubbishes Viral Message On Timings Of Essential Items Sold,1
TikTok Video On Coronavirus Goes Viral As Doctor's Advice,1
This video shows a security exercise simulating a hostage-taking at Dakar airport,1
"Gargling warm salt water or vinegar does not prevent coronavirus infection, health experts say",1
Misleading COVID-19 flyer falsely linked to US Veterans Affairs hospital,1
Health experts refute misleading 'timeline' of COVID-19 symptoms,1
Police dismiss false claim that Australian factory hoarded COVID-19 supplies to export to China,1
Australian health authorities refute hoax about 'free home checks' for suspected COVID-19 cases,1
Singapore General Hospital said its car park would be temporarily used to test suspected COVID-19 patients,1
Myth circulates online that 'new' hantavirus disease has emerged in China,1
False claims on patents fuel novel coronavirus conspiracy theories online,1
Viral video misidentifies COVID-19 patient as Canadian PM’s wife,1
Viral WhatsApp voice note in Nigeria makes misleading claims about COVID-19 fatalities projections,1
Ugandan and Kenyan authorities reject claims that they told landlords to stop rent collection,1
"Video shows Zimbabwe police beating opposition members, not churchgoers defying virus rules",1
Nigerian TV screenshot of '472 confirmed cases' refers to Lassa fever ⁠— not COVID-19,1
Message Claiming Coronavirus Can Last Upto 8 Hours in Air is Misleading,1
McDonald's of Guam says rumors of COVID-19 case are false,1
Coronavirus rumor mongers are enemies of the state says Minister,1
UN warns of deadly effect of Covid-19 misinformation in Pacific,1
Fear and misinformation go viral in Fiji,1
"Dr Waqainabete To Lynda: Think About The Lives, Not The Likes On Facebook",1
"As coronavirus misinformation spreads on social media, Facebook removes posts",1
No coronavirus cases on Saipan,1
Indian authorities refute 'fake' claim about food markets closing in Chennai during COVID-19 lockdown,1
This Pakistani bank said no employees had tested positive for COVID-19 and its branches remained open,1
Health authorities warn of false COVID-19 prevention tips online,1
Hemingway phrase misrepresented as Trump and Biden statement on COVID-19 death toll,1
Photos of vaping illness patients used to make false COVID-19 claim,1
"Non, un Prix Nobel japonais n’a jamais défendu la thèse du SARS-CoV-2 inventé en laboratoire",1
"Non, cette vidéo ne montre pas deux journalistes américains sous-entendre que le Covid-19 est un canular",1
Let's not allow bat and his kin to rule the globe,1
These photos show the aftermath of a powerful earthquake in Croatia,1
Calling this number will not get you food aid in the US,1
Australian health authorities dismiss hoax claim about 'rescue packs' for vulnerable patients,1
‘It’s a myth’: South Australian health authorities dismiss rumour about an ice rink-turned-morgue for COVID-19 victims,1
This video shows donations for victims of a deadly earthquake that hit eastern Turkey in January 2020,1
19-year-old France returnee female student tested positive: Could she be the super-spreader? ,1
FALSE: Nobel Prize winner Dr Tasuku Honjo says coronavirus is 'manufactured',1
Facebook posts falsely claim the US arrested a Chinese scientist who “created” coronavirus,1
Ethiopia has not approved traditional medicine to treat COVID-19,1
Misleading posts claim ventilators are ‘stuck’ in New York warehouse,1
New misinformation circulates online in Asia about creation of vaccine and drug for COVID-19,1
Extinction Rebellion said it did not issue this poster about the coronavirus,1
Experts dismiss claims that 5G wireless technology created the novel coronavirus,1
South African hospital group rejects claim that lab found COVID-19 on fresh produce,1
"No, these videos do not show recent looting in South Africa",1
This video shows pro-democracy protesters in Hong Kong in August 2019,1
"This video of an orangutan has circulated in reports since November 2019, months before the novel coronavirus pandemic",1
"This CNN broadcast has been doctored, Nigerian leader did not test positive for coronavirus",1
CEOs of these companies did not all step down during novel coronavirus crisis,1
Misinformation circulates online about COVID-19 cases and lockdown measures in Asia,1
"Non, personne ne fait du porte-à-porte pour vous proposer des masques imbibés de produit anesthésiant (lien signalé sur Facebook)",1
[新型コロナFactCheck] ｢都市封鎖の東京に鹿｣ アルジャジーラが誤報,1
Hoax circulates in India that government has banned coronavirus-related posts on social media,1
"These photos have circulated online since at least March 2019, before the COVID-19 pandemic",1
This is an AFP photo shot in 2006 during an unrelated incident,1
This poem was written in 2020 specifically about the COVID-19 pandemic,1
"COVID-19 corpses video was shot in Ecuador, not New York",1
Hoax circulates online in Hong Kong that COVID-19 was transmitted through fruits and vegetables,1
This photo has circulated in reports about an Irish teenager who died in 2017,1
Nigerian health authority denounces fake social media accounts,1
This video was edited to make it look like South Africa’s leader announced an 81-day lockdown,1
This video was shot in Azerbaijan in October 2019 during an anti-government protest,1
2016 photo of tank in Toronto resurfaces amid COVID-19 outbreak,1
The World Bank did not praise Tanzania’s anti-coronavirus policies,1
The Chinese donation consisted of general medical supplies to help fight COVID-19,1
COVID-19: hoax circulates that viral outbreaks are linked to new telecommunication technologies,1
Posts claim children with COVID-19 must go to hospitals alone,1
These 10 tips for preventing COVID-19 contain false information,1
This video has circulated in reports about Indian activist Trupti Desai's arrest in September 2019,1
Trump did not post this tweet about H1N1 pandemic in 2009,1
Misleading coronavirus information falsely attributed to Johns Hopkins,1
This video has circulated online since 2015 -- years before the COVID-19 pandemic,1
Exclusive: She's been falsely accused of starting the pandemic. Her life has been turned upside down,1
Scientists Haven’t Found Proof The Coronavirus Escaped From A Lab In Wuhan. Trump Supporters Are Spreading The Rumor Anyway.,1
"No, white South Africans not banned from getting Covid-19 government aid",1
"No, palm oil not a ‘simple solution’ to coronavirus",1
Facebook Users Wrongly Tie Dog Vaccine to Novel Coronavirus,1
NOT REAL NEWS: Another week of debunking fake coronavirus headlines and more,1
NOT REAL NEWS: Another week of debunking fake coronavirus headlines and more,1
NOT REAL NEWS: Another week of debunking fake coronavirus headlines and more,1
NOT REAL NEWS: Another week of debunking fake coronavirus headlines and more,1
Photo does not show nurses treating COVID-19 patients in Italy,1
"No, Britain’s Queen Elizabeth did not mention the Philippines in her speech on the novel coronavirus",1
This is an old video showing police officers in Ghana,1
"According to information of UNICEF, Covid19 can be killed in 26 percent temperature قرار معلومات یونیسف، ویروس کرونا در دمای 26 درجه از بین می رود",1
Fact Check: Democrats Do NOT Want Stimulus Payments Taken From Social Security And Military,1
Fact Check: Not Wearing Masks For Tuberculosis In The U.S. Does Not Mean Masks Are Not Needed For COVID-19,1
"Fact Check: Pelosi NOT In Wuhan, China, Six Days After Impeachment",1
Fact Check: Trader Joe's Is NOT Giving Away A Chance To Get $250 Coupon To All,1
"Fact Check: Countering Video, Doctors Say Drug For High-Altitude Sickness is NOT 'Missing Link' In Coronavirus Treatment",1
No Evidence That Flu Shot Increases Risk of COVID-19,1
This video shows monkeys swimming in a pool in India during the COVID-19 lockdown,1
5G deal between UK and Chinese tech company Huawei has not been cancelled,1
"This picture shows the work of a make-up artist, not an infected hand",1
False advice on refusing vaccines circulates during COVID-19 pandemic,1
Online coronavirus scams spread in Nigeria amid lockdowns,1
Photo of Lebanese Reporter Used to Criticize U.S. Media,1
Stimulus Checks Won’t Reduce Future Tax Refunds,1
Conspiracy Theory Misinterprets Goals of Gates Foundation,1
False Claim of Deadly Coronavirus Vaccine Trial in Africa,1
Senegalese children did not die from a coronavirus vaccine (which does not yet exist),1
Claim Nigeria spent 1 billion naira on COVID-19 text messages came from fabricated tweet,1
The corona Virus travelled entire world from Wuhan but it did not reach Beijing and Shanghai... can anybody put light?,1
Corona! Virus? or Bio warfare weapon? ,1
Reports Didn’t Misrepresent One Man’s Death as Two,1
TV News Report Prompts Unfounded Attacks on Michigan Governor,1
South Africa’s education department says the 2020 school year can still be saved,1
"This video has circulated in reports since at least February 2020, weeks before the incident at a coronavirus quarantine facility in India",1
"Désintox. Non, la première volontaire à avoir testé le vaccin contre le coronavirus en Grande-Bretagne n'est pas morte.",1
Baseless Attack on News Media Over Photo of Coffins,1
Union’s Search for Face Masks Gets Twisted Online,1
Social Media Posts Make Baseless Claim on COVID-19 Death Toll,1
Walmart Hasn’t Adopted ‘Staggered Shopping’ Based on Age,1
Fact Check: Kennedy Center Did NOT Give DNC $5M After Getting $25M In Relief From Coronavirus Stimulus,1
A French hospital authority said this video shows French-made medical gowns that were damaged in storage,1
Message suggesting that ‘alkaline foods can kill SARS-CoV-2 virus’ is fake,1
South Africa leader did not ask foreigners to leave the country due to COVID-19,1
This is a photo of a waste management officer that's been circulating since 2018,1
World Health Organization confirmed 'protocol' on COVID-19 lockdown is fake,1
Posts target parents with misleading COVID-19 hospital visit rules,1
False claim: Beijing and Shanghai are untouched by COVID-19,1
Myths about 5G causing the Coronavirus pandemic and the impact,1
Nepalis in England on the receiving end of xenophobia amidst Covid-19 fears ,1
"hese are test kits made in South Korea, not a 'cure' for COVID-19",1
"No evidence that 5G radiation is harmful to human health, experts say",1
This video shows FBI agents seizing masks from alleged price gouger,1
"This video shows landmarks across China, but not Wuhan",1
Health experts say there is no evidence that eating alkaline foods can prevent or cure COVID-19,1
"This video shows a Brazil carnival in 2018, not a party in Italy",1
Stop the spread of fake news ,1
Trump's idea to treat COVID-19 with disinfectant could cause deaths,1
"Facebook to remove fake posts on coronavirus cures
",1
"Coronavirus tests Singapore's laws against misinformation
",1
Pacific governments accused of using coronavirus crisis as cover for media crackdown,1
"FALSE. FAKE NEWS. At this time, new cases are only decreasing in 16 states (18 if you include Puerto Rico and Guam).",1
"Taipei Times:  #Taiwan, US, #Japan hold virtual ‘fake news’ forum addressing how fake news about the #coronavirus is spread online & strengthening the ability of media organizations in the Indo-Pacific region to spot fake news.  #台灣",1
"The nation has had to react to a spate of #paranoia on local social media, wrongly linking Covid-19 and 5g wireless technologies.",1
"Chopped fake photos. Bats are a delicacy in South-East Asian countries and Pacific Islands, not China. And you can't contract virus by consuming cooked meats. ",1
Scientists have not yet confirmed that the time-traveling Coronavirus was responsible for the disappearance of female pilot Amelia Earhart over the Pacific Ocean!,1
"As the Coronavirus crisis grips the entire world and people seek reliable information, misinformation and fake news is being widely shared online.",1
China is pressuring #Taiwan with provocative #airforce maneuvers near the island and spreading fake news to sow discord during the #coronavirus outbreak.,1
all i kno is coronavirus is #fakenews by the #government who wants to #mindcontrol us and the only way to stop it is by sending #footpics to #china,1
Italy is target of fake news campaign by Beijing wt edited videos showing Italians gratitude for China's help in when no such demonstrations took ,1
"China ramping up coronavirus disinformation campaign on Twitter, State Dept. says",1
China was using fake news to to spin their image to be the saviour of the world during the pandemic.  Don't trust their numbers at all.,1
"Taiwan threatening fines of up to 3 million NT (€90,000) for  any coronavirus-related April Fools Day pranks/fake news.",1
Taiwan accuses China of waging cyber war to disrupt coronavirus with fake news,1
Over 70% of Coronavirus Fake News Comes from China,1
"While China was spreading propaganda, Taiwan was responding to COVID-19.",1
"China is busy using fake news attacking the U.S.
Taiwan is collaborating with the U.S. for rapid test kits and vaccine development. ",1
"As part of our efforts to curb #COVID19Microbe disinformation, the govt. of Taiwan has identified 2,029 cases related to the spread of fake news on coronavirus; 606 cases have been placed on file for investigation & 188 (256 people) cases have been prosecuted (as of March 24).",1
Facebook shuts down 60 Chinese accounts for fake coronavirus news in Taiwan trying to spread unease and panic; Chinese netizens have grown more sophisticated in packaging fake news,1
False ‘facts’ on USPS finances resurface on Facebook,1
Face mask ad posted during coronavirus crisis claims stock images show infection-hit family,1
New hoax circulates online that India has outlawed social media posts about COVID-19,1
South Sudan's chief justice and his family tested negative for COVID-19,1
Democrats did vote for legislation to combat the novel coronavirus crisis,1
Philippine authorities warn anti-viral injection has not yet been approved for treating COVID-19,1
Pastor in Nepal accused of spreading misinformation for saying God has power over coronavirus,1
Fake hiring phone numbers shared online in US as unemployment surges,1
This photo shows Australia’s Bondi Beach in 2013,1
Did UP govt issue order restricting samaritans from helping migrants workers?,1
Fake message claims labourers working between 1990 to 2020 will get ₹1.2 lakh benefits,1
False quote attributed to WHO claims no vegetarian has been affected by coronavirus,1
Fake message attributed to ICMR lists 21 dos and don’ts post lockdown,1
"Viral message falsely claims Mumbai and Pune to be under military lockdown, CM debunks rumour",1
Images from Myanmar viral as social distancing in Mizoram vegetable market,1
