headline,real_or_fake
Exclusive: State Department tells refugee agencies to downsize U.S. operations,0
"Congress votes to avert shutdown, sends Trump stopgap spending bill",0
Factbox: Big-ticket items at center of Congress spending bill,0
"In victory for Trump, judge tosses suit on foreign payments",0
Senate shelves disaster aid bill until next month,0
"Trump on Twitter (Dec 21) - Tax Cuts, Home sales",0
House widens ethics probe to include Farenthold campaign work,0
U.S. court rejects Trump bid to stop transgender military recruits on Jan. 1,0
U.S. House approves $81 billion for disaster aid,0
House Democrats rally to protect Special Counsel Mueller,0
Second U.S. judge blocks Trump administration birth control rules,0
Senators seek to stop expansion of airport facial scans,0
U.S. launches effort to reduce reliance on imports or critical minerals,0
"Short-term government funding, disaster aid bills advance in House",0
Spy chiefs pressure Congress to renew expiring surveillance law,0
Trump urges Congress to pass short-term spending bill,0
"House gives final approval to tax bill, delivering victory to Trump",0
U.S. tax plan roils popular bet in bond market,0
U.S. lawmakers seek temporary extension to internet spying program,0
Trump commutes fraud sentence of kosher meatpacker,0
U.S. responds in court fight over illegal Indonesian immigrants,0
Democrat Franken to leave Senate on January 2,0
U.S. lawmakers seek temporarily extension to internet spying program,0
Top Democrat says Trump firing of Mueller could provoke 'constitutional crisis',0
U.S. tax bill may face lawsuits with long odds but political payoffs,0
Vote in Senate on 'Dreamers' hinges on bipartisan pact: McConnell,0
White House says tax bill will not hurt Puerto Rico,0
Democrats plan to use tax bill to attack Republicans at midterms,0
"After ruling, Virginia legislature's majority to be chosen by lot",0
"Fight over Alaska Arctic drilling has just begun, opponents vow",0
Senator Cornyn trying to get Big Corn behind U.S. biofuels reform,0
"In Georgia, battle of the 'Staceys' tests Democrats' future",0
Democrat wins by one vote in Virginia legislative election recount,0
FBI deputy director to sit for closed interview with House panels,0
White House expects Congress to waive spending cuts triggered by tax overhaul,0
Trump on Twitter (Dec 20) - Tax Bill,0
What's in the final Republican tax bill,0
Trump: Market has not fully digested tax cut changes,0
White House aide sees temporary funding fix for children's health program,0
"Tax bill's 'pass-through' rule will aid wealthy, not workers: critics",0
U.S. tax cuts won't make housing more affordable: analysts,0
"Banks, healthcare service firms among winners from U.S. tax bill",0
Trump's Supreme Court appointee Gorsuch plots rightward course,0
Republicans seek to question FBI officials in Clinton probe: letter,0
Trump aides hope win on taxes will stem slide in poll numbers,0
Congress faces tricky path to avoid government shutdown,0
Factbox - Big-ticket items at center of Congress funding battle,0
Senate parliamentarian rules against tax bill provisions: Sanders,0
"Senate panel snubs Trump's pick to run EXIM, OKs other nominees",0
House will likely need to vote again on tax bill: Republican leader,0
"Instant View: House approves biggest tax overhaul in 30 years, Senate next",0
Senate begins debate on final Republican tax bill,0
Bill could make Congress members liable for harassment payouts,0
Green groups sue Trump administration over delay of methane rule,0
House Democratic leaders urging 'no' vote on spending bill: CNN reporter,0
"Pence to preside over Senate tax bill vote, his office confirms",0
Senate to vote on final tax bill Tuesday evening: McConnell,0
Republicans appear all but certain to pass tax legislation,0
Court orders Trump administration to give immigrant teens abortion access,0
House plan would increase Trump's disaster aid request,0
House panel chair introduces $81 billion disaster aid bill,0
Trump nominates Liberty University professor to Justice Department post,0
"Trump on Twitter (Dec 18) - Congressional Races, train accident, tax cuts",0
Trump Cabinet officials to visit Puerto Rico to assess recovery,0
'Dreamer' immigration bill not on U.S. Senate agenda this month,0
Senator Warren hits out at 'effort to politicize' U.S. consumer agency,0
Trump strategy document says Russia meddles in domestic affairs worldwide,0
Republican Senator Collins says she will vote for tax bill,0
Democratic U.S. senator seeks audit of EPA chief's trip to Morocco,0
Republican Senator Lee says he will vote for tax bill,0
Trump: U.S. has 'no choice' but to deal with North Korea arms challenge,0
Trump judicial nominee withdraws from consideration,0
Trump calls for U.S. infrastructure plan after train derailment,0
"Final Republican tax bill slashes U.S. corporate rate, voting next week",0
Factbox: What's in the final U.S. Republican tax bill,0
Trump defends tax plan as 'great Christmas gifts' to middle class,0
House to vote on tax bill Tuesday afternoon: aides,0
White House optimistic Congress will avoid government shutdown,0
U.S. taxpayers rush to claim deductions under threat from tax bill,0
Republicans confident tax bill to become law this week,0
Republican Senator John McCain leaves Washington before expected tax vote,0
Trump says not considering firing U.S. special counsel Mueller,0
Trump allies say Mueller unlawfully obtained thousands of emails,0
Senator-elect Jones not joining calls for Trump resignation,0
Trump administration bans selected words at health agencies: paper,0
Congressman will not seek relection amid misconduct probe,0
Trump to say in security speech that China is competitor: officials,0
Factbox: Trump on Twitter (December 15) - Quantico,0
Republican tax bill retains U.S. electric vehicle tax credit,0
Attorney General Sessions has lukewarm praise for FBI after Trump attack,0
Senate Democrats to force vote on FCC net neutrality repeal,0
"U.S. lawmaker probed on sex reports, second congressman denies charges",0
Republicans join push to lift secrecy around misconduct in Congress,0
"Trump officials brief Hill staff on Saudi reactors, enrichment a worry",0
U.S. judge to lift house arrest for former Trump campaign manager Manafort,0
Republican Senator Corker says he will support tax bill,0
Rubio signals support for tax bill after child tax credit tweaks,0
U.S. tax negotiators raising refundable portion of child tax credit: congresswoman,0
Republicans have finalized compromise U.S. tax bill -chief House tax writer,0
"Republican Senator Rubio will back tax bill: CNBC, citing sources",0
Exclusive: Senator Cruz wants to cap renewable fuel credits at 10 cents - document,0
Trump administration issues new rules on U.S. visa waivers,0
Trump urges Moore to concede Alabama Senate race,0
Net neutrality repeal gives Democrats fresh way to reach millennials,0
"As Republican tax vote nears, more senators waver",0
"Factbox: Trump on Twitter (December 14) - Stock market, federal regulations",0
House committee questions head of Trump campaign data firm: sources,0
Republican governors meet with Pence over NAFTA concerns,0
Factbox: Provisions of the U.S. Republicans' final tax bill,0
House Speaker Ryan mulls retirement after 2018 elections: Politico,0
Republican Representative Farenthold will not seek re-election,0
Alabama Senate race winner urges Republican rival to 'move on',0
Fund managers seek stocks benefiting from Democratic gains in 2018 U.S. elections,0
Factbox: Republicans to keep an eye on as Senate nears vote on tax bill,0
Republican House Speaker Ryan told Trump retirement report was rumors were not true: White House,0
White House says will work with Rubio on child tax credit,0
"Republican Senator Lee undecided on tax bill, seeks child credit changes: aide",0
"U.S. tax bill to preserve key renewable energy credits, sources say",0
U.S. bill to allow property and income or sales tax deductions: key lawmaker,0
Senator McCain will vote on tax bill -No. 2 Republican,0
Nominee for U.S. EPA chemical safety withdraws: Bloomberg,0
"Senators Burr, Tillis oppose Trump's EPA nominee Dourson: reports",0
Pence delays Middle East trip in case needed for U.S. tax vote,0
Kentucky lawmaker a 'probable suicide' amid sexual misconduct accusations,0
"Mulvaney says U.S. tax bill votes could be Tuesday, Wednesday: CNBC",0
"Donald Trump Jr. wants 'leak' probe, as Congress' Russia probes press on",0
Do not expect postcard-sized tax return from Republican plan: experts,0
"Republicans forge tax deal, final votes seen next week",0
Alabama win thrills Democrats as Republicans point fingers,0
Trump's eldest son testifies to Senate committee in Russia probe,0
What is in the Republicans' final tax bill,0
Factbox: What is in the U.S. Republicans' final tax bill,0
Minnesota lieutenant governor to replace Franken in Senate,0
Stop-gap bill unveiled to fund U.S. government until Jan. 19,0
Senior justice official dismisses Republican charges of bias in Trump probe,0
Senator McCain treated for side effects of cancer therapy,0
Trump 'dossier' firm: Republicans leaked bank records in retaliation,0
Two Trump judicial nominations rebuffed by Senate,0
U.S. prepares to open doors on billion-dollar London embassy,0
"In elaborate hoax, websites say NFL Redskins renamed as Redhawks",0
"After Alabama upset, Democrats see new prospects in U.S. South",0
Schumer: delay tax overhaul vote until new Alabama senator seated,0
Republican Senator Corker says he is still undecided on tax bill,0
Control of Virginia state House at stake as recounts begin,0
Trump says he would accept 21 percent corporate tax rate,0
House and Senate reach deal on U.S. tax legislation: Hatch,0
U.S. House to stop using public funds for harassment settlements: speaker,0
U.S. House and Senate leaders reach agreement 'in principle' on tax plan: AP,0
White House aide Omarosa Manigault Newman resigns,0
Analyst View: Democrat Jones wins Alabama U.S. Senate seat in blow to Trump,0
Top U.S. Senate Democrat hopeful Congress will help 'Dreamers' by year end,0
Senator Gillibrand calls Trump Twitter post 'sexist smear',0
Trump loses his big bet on Alabama U.S. Senate race,0
FBI officials said Clinton 'has to win' race to White House: NYT,0
Trump congratulates Democrat for Alabama U.S. Senate victory in tweet,0
"Prayer, principle guide women voters in Roy Moore's Alabama hometown",0
Democrat wins U.S. Senate seat in Alabama in setback for Trump,0
"Factbox: Trump on Twitter (December 12) - Democrats, Kirsten Gillibrand, Chuck Schumer",0
Crucial details of Republican tax plan in flux as deal deadline looms,0
Tillerson seeks to ease skepticism about U.S. State Department reorganization,0
"Trump to meet House, Senate tax cut negotiators Wednesday: White House",0
"Republicans propose to delay, pause Obamacare taxes",0
Trump signs into law U.S. government ban on Kaspersky Lab software,0
Senator Grassley expresses reservations on two Trump judge nominees,0
U.S. judge orders special counsel to turn over evidence on Michael Flynn,0
"U.S. Congress to let Iran deadline pass, leave decision to Trump",0
Senators say effort to protect 'Dreamers' making progress,0
Trump's attack on Senator Gillibrand 'nasty': Senator Schumer,0
House Speaker Ryan says he believes upbeat Treasury tax study,0
Senate leader says he's confident of deal to keep government open after Dec. 22,0
White House to host fresh biofuels talks to help refiners: sources,0
Trump will announce new U.S. security strategy on Monday: adviser,0
"Trump signs defense policy bill, urges U.S. Congress to fund it",0
"Trump's push to cut federal jobs has modest impact, mostly in defense",0
Cuba tells U.S. suspension of visas is hurting families,0
Republican Moore embraces Trump message on eve of Alabama election,0
Women accusing Trump of sexual misconduct seek congressional probe,0
U.S. House Democratic women seek probe of Trump misconduct accusations,0
Judge tells ex-Trump adviser Manafort to stop communicating with media,0
"U.S. military must accept transgender recruits by Jan. 1, judge rules",0
Nuclear plan backer denies Inauguration Day text with top Trump aide,0
U.S. Treasury tax study slammed as 'fake math' by Democrats,0
U.S. Treasury adds cash management measures due to debt limit,0
Factbox: Women who have accused Trump of inappropriate conduct,0
Nearly half of Americans still oppose Republican tax bill: Reuters/Ipsos poll,0
Justice Department reviewing options after ruling on transgender recruits: White House,0
"Haley: Women accusers should be heard, even if Trump is target",0
"Exclusive: Contenders emerge for No.2 Fed job, search to narrow",0
Trump to give speech on U.S. tax overhaul on Wednesday: White House,0
Powell faces early test of policy view as tax cuts near approval,0
Roy Moore campaign casts Alabama race as referendum on Trump,0
Democrats eye gains in Pennsylvania trial on 'goofy' gerrymandering,0
Trump urges Alabama voters to back Roy Moore,0
Senator Collins says undecided on final tax bill vote,0
Trump attends civil rights museum opening; black leaders stay away,0
Ukrainian author of Manafort op-ed says sought input to avoid errors,0
Special Counsel Mueller filing shows Manafort drafted Ukraine op-ed despite gag order,0
"Trump lifts refugee ban, but admissions still plummet, data shows",0
"Trump on Twitter (Dec 8) - Hanukkah, Roy Moore, Wells Fargo",0
U.S. lawyer defending travel ban grilled in court over Trump's tweets,0
U.S. House committee 'may reconsider' WHO cancer agency funds,0
Trump senior aide Dina Powell to resign early next year: White House,0
Special Counsel Mueller produces evidence that Manafort drafted op-ed,0
U.S. top court takes up Republican challenge to Maryland electoral district,0
White House pressures Big Corn to meet on U.S. biofuels policy,0
Former Trump adviser interviewed in Congress in Russia probe,0
Farenthold should resign if misconduct accusations true: senior House Republican,0
Congressman Franks says resigning immediately,0
U.S. tax revamp still incomplete as Republicans eye social program cuts,0
Special election to replace Conyers to be held Nov. 2018: governor,0
Trump signs temporary spending bill as budget talks intensify,0
U.S. tax repatriation plan may not cure long-term dollar weakness,0
Aide tries to refocus tax debate after Trump's corporate rate remark,0
Franken and Franks resign as misconduct charges batter Congress,0
Rep. Franks to resign after staff members' complaints of harassment,0
Aide tries to refocus U.S. tax debate after Trump's corporate rate remark,0
"Millions would lose mortgage, gift write-offs under U.S. tax bill: study",0
Blackwater founder Prince details meeting with Russian in Seychelles,0
Congress averts government shutdown for now,0
Civil rights pioneer to eschew museum opening after Trump says will attend,0
Judge presiding over Michael Flynn criminal case is recused: court,0
House ethics panel probing Rep. Farenthold over harassment allegations,0
Factbox: Trump on Twitter (December 7) - Pearl Harbor Remembrance Day,0
House Intelligence chairman cleared of disclosing classified information,0
"Paul Manafort, Special Counsel Mueller tussle over Ukrainian op-ed",0
"Congress passes bill to temporarily fund government, avert shutdown",0
"Trump open to biofuel policy reform, senators say after meeting",0
House approves stop-gap government funding bill,0
Manafort's work on draft op-ed does not violate gag order: defense lawyer,0
"Exclusive: White House doesn't foresee shutdown, Trump wants 20 percent corporate tax",0
Libya says pushing to be removed from Trump travel ban list,0
Pelosi says Democrats will not back short-term funding bill on Thursday,0
"Pentagon wants 12 month procurement time for major weapons programs, official",0
FBI Director Wray defends bureau in wake of Republican criticism,0
President's son had legitimate reasons to not answer House panel questions: White House,0
Senate confirms top EPA enforcement official,0
Funding bill clears hurdle in House,0
Exclusive: U.S. regulators offer Congress olive branch on loans,0
White House says focused on getting lowest possible corporate tax rate,0
U.S. lawmakers propose ban on arbitration of sexual misconduct claims,0
"Ryan feels good about spending bill, wants budget cap talks",0
"Democratic Senator Franken to resign: CNN, citing sources",0
"U.S. Interior Department wants more oil drilling, expedite ANWR permits",0
Franken to make 11:45 a.m. announcement after harassment accusations,0
"Democratic Senator Franken faces pressure to resign, announcement looms",0
Trump administration sides against unions in high court fees case,0
Trump's eldest son questioned in Congress about Russia,0
Democratic lawmakers question Kushner on New York property: letter,0
'Good to go': Top Trump aide gave inaugural day ok to nuclear plan - congressman,0
"Factbox: Trump on Twitter (December 6) - America, California's wildfires",0
U.S. appeals court hears arguments on Trump travel ban,0
Trump warns of government shutdown threat ahead of meeting with lawmakers,0
Trump would sign bill that funds government through December 22: statement,0
Senate votes to pursue tax bill negotiations with House,0
Bill letting people bring concealed guns across state lines passes U.S. House,0
Senator Franken to resign on Thursday: Minnesota Public Radio,0
"Factbox: Corporate alternative minimum tax threat hits pharma, tech",0
Trump hopes to avoid government shutdown in meeting with lawmakers: White House,0
Senate votes to begin tax bill negotiations with House,0
Alabama Democrat turns up attacks on Roy Moore in Senate race's final stretch,0
Corporate AMT likely will not be in final U.S. tax bill: Hatch,0
U.S. attorney general calls for efficient review of immigration cases,0
Utah Republicans defend Romney after Bannon's 'Mormon' jab,0
Cuts to homeowner tax breaks could cost Republicans in 2018 races,0
Justice Department seeks warrant to seize ancient ring trafficked by ISIS,0
No. 2 Democrat in Senate calls on Franken to resign,0
Congress tax negotiators may have final bill before Dec. 22,0
"Senator Franken, facing resignation calls, to make announcement on Thursday: office",0
Trump ally Bannon campaigns for Moore in Alabama,0
"'You're wrong', Tillerson says of reports he will be fired",0
Senate to vote later on Wednesday to work with House on tax bill: McConnell,0
"Trump's first year in office marked by controversy, protests",0
Democrats flex muscles as Congress confronts a government shutdown,0
Factbox: Trump on Twitter (December 5) - Utah national monuments,0
House tax positions begin to emerge ahead of talks with Senate,0
Republican Party backs Senate candidate Moore: official,0
Senate confirms Trump's pick for Homeland Security secretary,0
House passes measure to limit aid to Palestinians over 'martyr payments',0
Trump lawyer denies Deutsche Bank got subpoena on Trump accounts,0
Senate committee advances bill easing banking regulations,0
Trump lawyers say judge lacks jurisdiction for defamation lawsuit,0
Mueller's Russia probe cost his office $3.2 million in first four months,0
Credit union sues to block Mulvaney from leading CFPB,0
Senior lawmaker Conyers leaves U.S. Congress after harassment accusations,0
House Republican tax chief says lawmakers want AMT repeal,0
White House says government shutdown always a possibility,0
Exclusive: Trump names career diplomat to head Cuban embassy - sources,0
Trump lawyer: Deutsche Bank has not received subpoena for Trump records,0
"Trump says tax conference will go well, 'pretty quickly'",0
"Trump, Obama dominate Twitter year, but chicken nuggets prevail",0
Former Trump aide nomination to be Singapore envoy stalled over Russia concerns,0
House Republicans mull length of spending bill as vote looms,0
Factbox: What to watch in negotiations over details of U.S. tax bill,0
Tillerson seeks to reassure worried Europe over Trump,0
House tax panel chair to urge longer-lasting individual tax rate cuts,0
Republican Party backs embattled Senate candidate Moore: official,0
"In Brussels, Tillerson offers EU strong U.S. support",0
EU warns Trump against recognizing Jerusalem as Israeli capital,0
Supreme Court lets Trump's latest travel ban go into full effect,0
Congress moves closer to final tax bill with House vote,0
"Democrats to join Trump, Republicans in talks to avert government shutdown",0
Manafort tried to pen positive op-ed on Ukraine work: special counsel,0
"Trump son, former partner due before House panel this week: source",0
"In slap at Romney, Trump says he wants Hatch to run for re-election",0
Trump lawyer's account about tweets raises questions about what president knew,0
Democrat cites drafting error in proposed capital rule amendment,0
"House, Senate Republicans face challenge over corporate AMT tax",0
Trump to nominate former NASA chief Griffin for defense undersecretary,0
Trump criticizes treatment of Flynn as unfair,0
Trump delays announcement on whether U.S. embassy to be moved to Jerusalem,0
Mulvaney says no plans to fire U.S. consumer bureau's English,0
Ex-U.S. consumer bureau head Cordray set to run for Ohio governor,0
"John Anderson, liberal Republican who challenged Reagan, dies at 95",0
U.S. defense chief urges Pakistan to redouble efforts against militants,0
Trump backs Alabama Republican Senate candidate Moore,0
Exclusive: U.S. document certifies Honduras as supporting rights amid vote crisis,0
"Trump says encouraging Hatch to run for re-election, possibly blocking a Romney bid",0
U.S. appeals courts to consider legality of Trump's latest travel ban,0
Top Democrats in Congress accept Trump offer to meet on year-end priorities,0
"White House: Trump spoke to Moore, endorsed his Senate campaign",0
Massachusetts Senate president steps aside as husband faces probe,0
Trump tweets about Russia probe spark warnings from lawmakers,0
"Flynn pleads guilty to lying on Russia, cooperates with U.S. probe",0
Factbox - The four men charged in U.S. probe of Trump-Russia ties,0
McConnell optimistic of tax bill deal between Senate and House,0
Factbox - Republicans cut side deals to push through U.S. Senate tax bill,0
U.S. corporate alternative minimum tax should be removed: House Republican,0
"Factbox: Trump on Twitter (Dec 4) - Roy Moore, Stock Market",0
U.S. embassy to Russia to resume some visa services after diplomatic row,0
Kremlin says Putin not influenced by ex-Trump official Flynn,0
"Billy Bush: It was Trump's voice on ""Access Hollywood"" tape",0
Embattled Alabama Republican Senate candidate ahead in CBS poll,0
U.S. allies fret as 'guillotine' hangs over Tillerson,0
McConnell says U.S. government shutdown over DACA 'ridiculous',0
Trump says never asked Comey to stop investigating Flynn,0
Trump lawyer Dowd says he drafted tweet on Flynn firing: Axios,0
White House open to small changes on corporate tax rate: budget chief Mulvaney,0
"Trump notes Flynn lied to FBI, says his actions during transition were lawful",0
Mueller removed FBI agent from Russia probe for anti-Trump texts: reports,0
Tillerson says no truth to reports that he is being replaced,0
ABC News suspends top journalist over inaccurate Flynn reporting,0
U.S. Senate tax bill accomplishes major Obamacare repeal goal,0
Senate approves major tax cuts in victory for Trump,0
U.S. Representative Levin says he will not run for reelection,0
Trump says Flynn's actions during presidential transition were 'lawful',0
How McConnell kept Republicans in line to win Senate tax bill,0
Factbox: Key Republicans in U.S. Senate tax bill fight,0
Factbox: Republican side-deals build support for Senate tax bill,0
Exclusive: Mideast nuclear plan backers bragged of support of top Trump aide Flynn,0
"Factbox: Trump on Twitter (Dec 1) - Kate Steinle, Tax cuts, Rex Tillerson",0
Disputed CFPB acting director plans to seek preliminary injunction: filing,0
"Flynn, Kushner targeted several states in failed U.N. lobbying: diplomats",0
Representative Conyers' future plans to be discussed in 'next day or so': attorney,0
Senate intel panel's top Democrat: Lawmakers will want talk to Kushner again,0
Ex-U.S. NSA employee pleads guilty to taking classified documents,0
"Kushner, former Trump adviser McFarland spoke with Flynn about Russia contacts: CNN",0
U.S. states gird for fight as Trump targets consumer finance watchdog,0
U.S. tax debate employing more than half of Washington's lobbyists: report,0
Republican Senator Corker says cannot support Senate tax bill,0
"Lower taxes, big gains: The stocks poised to win from tax cuts",0
Timeline: U.S. prosecutors lay out Flynn's dealings with Russian ambassador,0
Republican Senator Collins to vote for Senate tax bill: statement,0
Trump says U.S. Secretary of State Tillerson not leaving post,0
House intel panel advances NSA spying bill despite privacy objections,0
Massachusetts senator's husband subject of sex abuse probe,0
Kushner told Flynn to contact Russians last year: NBC News,0
House ethics panel launches wide-ranging probe into sexual harassment claims,0
Republican Senator Daines says he will support tax bill -statement,0
Senate Republicans have 50 votes to pass tax bill: Cornyn,0
Republicans have the votes to pass tax bill in Senate: McConnell,0
U.S. consumer financial watchdog official defies Trump from within agency,0
U.S. remains committed to Libyan political agreement: State Department,0
Former Trump adviser Flynn pleads guilty to lying to FBI,0
Factbox: Five facts about ex-Trump security aide Michael Flynn,0
White House says Flynn's Russia plea implicates Flynn alone,0
"Flynn says cooperating with Russia probe, in best interest of U.S.",0
Flynn prepared to testify Trump directed him to contact Russians: ABC,0
How parents of adopted children foiled a U.S. Republican tax proposal,0
White House staff exits likely as Trump's first year draws to a close: sources,0
Tillerson dismisses talk of his departure as 'laughable',0
Trump plans to meet oil industry reps on U.S. biofuel policy: sources,0
Senate tax bill stalls on deficit-focused 'trigger',0
Trump weighs recognizing Jerusalem as Israel's capital: officials,0
U.S. attorney general Sessions evasive on Russia probe: congressmen,0
Conyers defiant as Democratic leaders call on him to resign,0
Trump urged Senate Republicans to drop panel's Russia probe: NYT,0
Trump taps Fifth Third lawyer McWilliams to lead FDIC,0
Trump considers plan to replace Tillerson with CIA chief: U.S. officials,0
Senate Ethics Committee opens probe of Senator Franken,0
Pompeo might bring assets to 'hellish' secretary of state role,0
"Republican tax bill stumbles on deficit 'trigger,' new options weighed",0
U.S. military to indefinitely delay ban on cluster bombs,0
Factbox: Republicans to watch in U.S. Senate tax bill fight,0
Economic growth to partially offset deficit impact of U.S. tax plan: JCT,0
U.S. Senate panel to vote Tuesday on Powell nomination to lead Fed,0
Mattis on Tillerson departure: 'There's nothing to it',0
Ex-Twitter worker claims responsibility for Trump's account shutdown,0
Trump to give State of the Union address on Jan. 30: White House,0
White House says Tillerson to remain as secretary of state,0
Ex-Trump campaign aide Manafort in $11.65 million bail deal: lawyer,0
Trump's call for military buildup hits bump in Congress,0
Sexual misconduct allegations may roil 2018 U.S. congressional elections,0
U.S. Treasury would run out of cash by early April if debt ceiling not lifted: CBO,0
"Factbox: Five facts about Mike Pompeo, expected to replace Tillerson",0
Texas congressman will not seek re-election in wake of nude photo,0
Congressman Conyers has not thought about resigning: lawyer,0
Factbox: Trump turnover - Tillerson would be latest to leave administration,0
"Tillerson unaware of plan to oust him, Senator Corker says",0
"Factbox: Five facts about Tom Cotton, Trump's likely pick for CIA",0
White House says Tillerson still in charge at State Department,0
Senate tax bill stalls on deficit-focused 'trigger',0
U.S. House Democratic leader Pelosi says Conyers should resign,0
Trump angers UK with truculent tweet to May after sharing far-right videos,0
"U.N. rights boss condemns ""spreading hatred through tweets""",0
Arctic drilling hits speed bumps in U.S. tax bill,0
"Senator Collins says not committed to tax bill, concerned about SALT",0
UK PM May says Donald Trump was wrong to retweet far-right videos,0
Britain's U.S. ambassador discussed Trump retweets with senior White House staff: source,0
Factbox: Trump on Twitter (Nov 30) - NYTimes,0
Trump criticized in Britain and U.S. for sharing anti-Muslim videos,0
"UK PM May is focused on tackling extremism, spokesman says in response to Trump",0
British minister hopes condemnation of Trump tweet has impact,0
U.S. intel committee subpoenas comedian in Russia election meddling probe,0
Kushner met with special counsel Mueller in Russia probe: CNN,0
"Factbox: Trump on Twitter (November 29) - Matt Lauer, North Korea, Tax Cuts",0
Trump nominates Marvin Goodfriend for Fed governor post,0
Trump fires back at Britain's May: 'Don't focus on me',0
"Senate takes step toward passage of tax bill, vote likely this week",0
Republicans in House seek protection for municipal bonds in tax bill,0
Tax trigger idea for Senate tax bill swiftly draws critics,0
Congressman Conyers faces mounting pressure to resign,0
Factbox: Republicans to watch in Senate tax bill fight,0
House bill aims to identify lawmakers in sex harassment cases,0
Democratic Representative Gutierrez hints at 2020 U.S. presidential run,0
Senate Democrat presses Trump campaign advisers for Russia contacts,0
Ex-convict coal magnate says to run for Senate,0
Congressman Conyers not planning to resign: lawyer tells Detroit News,0
Nearly half of Americans oppose Republican tax bill: Reuters/Ipsos poll,0
U.S. lawmaker says House intel panel near consensus on NSA spy program,0
U.S. arms sales jump 25 percent in FY 2017,0
Black caucus members urge U.S. Representative Conyers to resign: sources,0
Trump to host Libyan Prime Minister Sarraj at White House on Friday,0
Trump's son Donald Trump Jr. to meet with House panel Dec. 6: CNN,0
White House does not expect U.S. government shutdown,0
Conyers should resign if accusations are 'founded': No. 2 House Democrat,0
Senate to vote Wednesday on opening debate on tax bill,0
Senate to vote on motion to proceed on tax bill: lawmaker,0
Trump was wrong to retweet UK far-right group: British PM May's spokesman,0
U.S. House Speaker Ryan says up to Conyers whether to resign,0
No. 2 Republican in U.S. House sees conference on tax bill soon,0
"Factbox: Who are Britain First, whose leader's posts Trump re-tweeted?",0
Trump calls for boycott of television network CNN: tweet,0
U.S. court backs Trump in battle over interim consumer watchdog head,0
"Democrats skip Trump meeting, raising risk of government shutdown",0
Senate Republicans shove tax bill ahead as Democrats fume,0
Congress government funding fight seen spilling into 2018,0
Factbox: Republican senators to watch in tax bill fight,0
"Trump to visit Utah next week, expected to announce monument decision",0
Watchdog to depart DHS after tensions over U.S. travel ban report,0
Republican Senator Collins says talks on tax bill 'productive',0
"Factbox: Trump on Twitter (Nov. 28) - NFL, First Lady",0
Consumer agency official English says will be in office Tuesday,0
U.S. Sen. Warren predicts appeal in legal battle over consumer agency,0
Top two Republicans in Congress challenge Democrats to attend Trump meeting,0
"Factbox: From taxes to budget, U.S. Congress's calendar tightens",0
Senate panel votes to advance tax bill,0
Tillerson 'offended' by claims of State Department's hollowing out,0
Trump to make remarks at White House at 3 p.m. EST,0
U.S. budget chief Mulvaney says CFPB staff should 'disregard' deputy director: memo,0
Russian envoy to U.S. to inspect San Francisco consulate: RIA,0
White House to Democratic leaders: 'stop the political grandstanding',0
Top Democrats in Congress say won't meet with Trump as planned,0
U.S. Senate liberals propose new steps for Puerto Rico recovery,0
Trump: 'I don't see a deal' with Democrats on keeping government open,0
"Trump-installed consumer agency head sets hiring freeze, halts new rules",0
Congressman Gutierrez will not seek re-election: Politico,0
Alabama Senate candidate Moore calls allegations 'dirty politics',0
